date;tmaxrec;ps;Mrf;tavg;Swet;Snowmelt;Snowaccu;Sdry;Sdepth;tminrec;M;preciprec;Sdepth_cm
1999-10-01;15.3;0.0;0.0;9.9999999;0.0;0.0;0.0;0.0;0.0;4.6999998;24.79501458347077;1.4;0.0
1999-10-02;13.7;0.0;0.0;8.5;0.0;0.0;0.0;0.0;0.0;3.3;20.778989877807927;0.80000001;0.0
1999-10-03;13.1;0.0;0.0;9.05;0.0;0.0;0.0;0.0;0.0;5.0;22.099962079891505;0.40000001;0.0
1999-10-04;8.3000002;0.0;0.0;4.4500001099999995;0.0;0.0;0.0;0.0;0.0;0.60000002;10.160414351564965;0.0;0.0
1999-10-05;9.3999996;0.0;0.0;4.549999795;0.0;0.0;0.0;0.0;0.0;-0.30000001;10.367088013373461;0.0;0.0
1999-10-06;7.0;0.0;0.0;2.9;0.0;0.0;0.0;0.0;0.0;-1.2;6.113638150405143;7.8000002;0.0
1999-10-07;8.3999996;0.0;0.0;3.2499997999999994;0.0;0.0;0.0;0.0;0.0;-1.9;6.9712033840213765;0.0;0.0
1999-10-08;11.2;0.0;0.0;4.1;0.0;0.0;0.0;0.0;0.0;-3.0;9.081650171835262;0.40000001;0.0
1999-10-09;15.9;0.0;0.0;10.24999995;0.0;0.0;0.0;0.0;0.0;4.5999999;24.476838288563695;12.0;0.0
1999-10-10;17.0;0.0;0.0;9.15;0.0;0.0;0.0;0.0;0.0;1.3;21.61012135795529;1.8;0.0
1999-10-11;12.3;0.0;0.0;7.9;0.0;0.0;0.0;0.0;0.0;3.5;18.397799111076083;1.8;0.0
1999-10-12;11.1;0.0;0.0;5.950000005;0.0;0.0;0.0;0.0;0.0;0.80000001;13.484258986990042;0.0;0.0
1999-10-13;7.6999998;0.0;0.0;5.4999999;0.0;0.0;0.0;0.0;0.0;3.3;12.311220427966113;15.0;0.0
1999-10-14;8.6000004;0.0;0.0;4.60000021;0.0;0.0;0.0;0.0;0.0;0.60000002;10.046628682002824;7.5999999;0.0
1999-10-15;8.3999996;0.0;0.0;3.4999997999999994;0.0;0.0;0.0;0.0;0.0;-1.4;7.315914674823433;0.0;0.0
1999-10-16;11.6;0.0;0.0;7.899999899999999;0.0;0.0;0.0;0.0;0.0;4.1999998;17.95958827067279;0.0;0.0
1999-10-17;15.5;0.0;0.0;10.3499999;0.0;0.0;0.0;0.0;0.0;5.1999998;23.791686330062067;6.1999998;0.0
1999-10-18;7.4000001;0.0;0.0;2.35000005;0.0;0.0;0.0;0.0;0.0;-2.7;4.447264129307208;6.5999999;0.0
1999-10-19;5.5;0.0;0.0;0.7999999499999999;0.0;0.0;0.0;0.0;0.0;-3.9000001;0.7177664764726513;0.0;0.0
1999-10-20;10.0;0.0;0.0;5.7;0.0;0.0;0.0;0.0;0.0;1.4;12.382705347198739;3.0;0.0
1999-10-21;9.0;0.0;0.0;5.25;0.0;0.0;0.0;0.0;0.0;1.5;11.258128520174804;0.0;0.0
1999-10-22;11.4;0.0;0.0;7.300000000000001;0.0;0.0;0.0;0.0;0.0;3.2;16.041792273040524;12.3;0.0
1999-10-23;7.0999999;0.0;0.0;5.04999995;0.0;0.0;0.0;0.0;0.0;3.0;10.684114604520499;33.099998;0.0
1999-10-24;7.1999998;0.0;0.0;3.6999999;0.0;0.0;0.0;0.0;0.0;0.2;7.479505332540301;0.0;0.0
1999-10-25;3.7;0.0;0.0;1.05;0.0;0.0;0.0;0.0;0.0;-1.6;1.2796605295966825;0.0;0.0
1999-10-26;5.8000002;0.0;0.0;3.2500000950000003;0.0;0.0;0.0;0.0;0.0;0.69999999;6.369248514281195;0.0;0.0
1999-10-27;5.5;0.0;0.0;1.6;0.0;0.0;0.0;0.0;0.0;-2.3;2.5362182389105863;0.0;0.0
1999-10-28;6.0;0.0;0.0;0.6500001000000002;0.0;0.0;0.0;0.0;0.0;-4.6999998;0.3443022122185557;1.0;0.0
1999-10-29;10.8;0.0;0.0;4.8500000000000005;0.0;0.0;0.0;0.0;0.0;-1.1;9.940507537040196;0.0;0.0
1999-10-30;9.5;0.0;0.0;4.2;0.0;0.0;0.0;0.0;0.0;-1.1;8.418013293520858;0.0;0.0
1999-10-31;13.1;0.0;0.0;7.3999999999999995;0.0;0.0;0.0;0.0;0.0;1.7;15.630178447822786;2.8;0.0
1999-11-01;13.3;0.0;0.0;7.65;0.0;0.0;0.0;0.0;0.0;2.0;16.126758066525884;0.0;0.0
1999-11-02;16.0;0.0;0.0;9.54999995;0.0;0.0;0.0;0.0;0.0;3.0999999;20.325247899604058;4.0;0.0
1999-11-03;22.9;0.0;0.0;13.600000099999999;0.0;0.0;0.0;0.0;0.0;4.3000002;29.297173528736867;1.5;0.0
1999-11-04;5.5999999;0.0;0.0;2.9999999550000003;0.0;0.0;0.0;0.0;0.0;0.40000001;5.567796101860493;0.0;0.0
1999-11-05;11.5;0.0;0.0;4.65;0.0;0.0;0.0;0.0;0.0;-2.2;9.204557298562245;0.80000001;0.0
1999-11-06;8.1999998;0.0;0.0;3.2999999000000004;0.0;0.0;0.0;0.0;0.0;-1.6;6.18511449212776;0.0;0.0
1999-11-07;4.1999998;0.0;0.0;1.3499998999999998;0.0;0.0;0.0;0.0;0.0;-1.5;1.8701127541499714;0.0;0.0
